thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.46875)],[np.float64(0.16087962962962962)],[1],[0],[0],[1.2653971000108868],['Target'],0,0,0,0,0.02927039982751012,,5,0.015511599835008383,0.02927039982751012,0.02927039982751012,0.015531699871644378,1.2810406999196857,[np.float64(0.46875)],[np.float64(0.16087962962962962)],[1],[0],[0],[1.2653971000108868],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
1,0,1,[np.float64(0.2361111111111111)],[np.float64(0.3784722222222222)],[1],[0],[0],[1.7663298000115901],['Target'],1,0,1,0,1.2993594999425113,,5,1.2942642997950315,1.2993594999425113,1.2993594999425113,0.013006099965423346,3.0607093998696655,[np.float64(0.2361111111111111)],[np.float64(0.3784722222222222)],[1],[0],[0],[1.7663298000115901],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
2,0,2,[np.float64(0.3402777777777778)],[np.float64(-0.2708333333333333)],[1],[0],[0],[2.1034951999317855],['Target'],2,0,2,0,3.1087759998627007,,10,3.09461889998056,3.1087759998627007,3.1087759998627007,0.03371939994394779,5.198223699815571,[np.float64(0.3402777777777778)],[np.float64(-0.2708333333333333)],[1],[0],[0],[2.1034951999317855],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
3,0,3,[np.float64(0.09953703703703703)],[np.float64(-0.06365740740740741)],[1],[0],[0],[1.483122600009665],['Target'],3,0,3,0,5.227117199916393,,10,5.220254099927843,5.227117199916393,5.227117199916393,0.021770999999716878,6.703471399843693,[np.float64(0.09953703703703703)],[np.float64(-0.06365740740740741)],[1],[0],[0],[1.483122600009665],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
4,0,4,[np.float64(-0.38773148148148145)],[np.float64(-0.05787037037037037)],[1],[0],[0],[1.3055395998526365],['Target'],4,0,4,0,6.738142999820411,,10,6.729652300011367,6.738142999820411,6.738142999820411,0.02598859998397529,8.035307899815962,[np.float64(-0.38773148148148145)],[np.float64(-0.05787037037037037)],[1],[0],[0],[1.3055395998526365],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
5,0,5,[np.float64(-0.4513888888888889)],[np.float64(-0.4074074074074074)],[1],[0],[0],[2.1862383999396116],['Target'],5,0,5,0,8.059444999787956,,5,8.053687299834564,8.059444999787956,8.059444999787956,0.018139499938115478,10.240040399832651,[np.float64(-0.4513888888888889)],[np.float64(-0.4074074074074074)],[1],[0],[0],[2.1862383999396116],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
6,0,6,[np.float64(-0.09722222222222222)],[np.float64(-0.2037037037037037)],[1],[0],[0],[1.6014037998393178],['Target'],6,0,6,0,10.268081999849528,,10,10.261310699861497,10.268081999849528,10.268081999849528,0.021063399966806173,11.86282779998146,[np.float64(-0.09722222222222222)],[np.float64(-0.2037037037037037)],[1],[0],[0],[1.6014037998393178],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
7,0,7,[np.float64(0.4444444444444444)],[np.float64(-0.30671296296296297)],[1],[0],[0],[1.971164100104943],['Target'],7,0,7,0,11.893996499944478,,10,11.886598999844864,11.893996499944478,11.893996499944478,0.023543299874290824,13.857859399868175,[np.float64(0.4444444444444444)],[np.float64(-0.30671296296296297)],[1],[0],[0],[1.971164100104943],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
8,0,8,[np.float64(0.05324074074074074)],[np.float64(0.5)],[1],[0],[0],[2.560629000188783],['Target'],8,0,8,0,13.894821199821308,,10,13.884907400002703,13.894821199821308,13.894821199821308,0.026872799964621663,16.445629299851134,[np.float64(0.05324074074074074)],[np.float64(0.5)],[1],[0],[0],[2.560629000188783],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
9,0,9,[np.float64(0.01273148148148148)],[np.float64(0.25462962962962965)],[1],[0],[0],[1.0457486000377685],['Target'],9,0,9,0,16.47194809978828,,10,16.46492399997078,16.47194809978828,16.47194809978828,0.01910219993442297,17.51077159983106,[np.float64(0.01273148148148148)],[np.float64(0.25462962962962965)],[1],[0],[0],[1.0457486000377685],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
10,0,10,[np.float64(-0.16898148148148148)],[np.float64(-0.4699074074074074)],[1],[0],[0],[2.012384500121698],['Target'],10,0,10,0,17.55405699997209,,10,17.543272099923342,17.55405699997209,17.55405699997209,0.03230650001205504,19.555717299925163,[np.float64(-0.16898148148148148)],[np.float64(-0.4699074074074074)],[1],[0],[0],[2.012384500121698],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
11,0,11,[np.float64(0.1400462962962963)],[np.float64(0.09722222222222222)],[1],[0],[0],[1.522380500100553],['Target'],11,0,11,0,19.570544299902394,,5,19.56578249996528,19.570544299902394,19.570544299902394,0.009922599885612726,21.088296899804845,[np.float64(0.1400462962962963)],[np.float64(0.09722222222222222)],[1],[0],[0],[1.522380500100553],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
12,0,12,[np.float64(-0.10069444444444445)],[np.float64(-0.25578703703703703)],[1],[0],[0],[1.5385834998451173],['Target'],12,0,12,0,21.108977699885145,,5,21.103778999997303,21.108977699885145,21.108977699885145,0.0152363998349756,22.642457499867305,[np.float64(-0.10069444444444445)],[np.float64(-0.25578703703703703)],[1],[0],[0],[1.5385834998451173],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
13,0,13,[np.float64(0.25462962962962965)],[np.float64(0.43287037037037035)],[1],[0],[0],[2.1199544998817146],['Target'],13,0,13,0,22.676738600013778,,10,22.669489299878478,22.676738600013778,22.676738600013778,0.026877100113779306,24.7895814999938,[np.float64(0.25462962962962965)],[np.float64(0.43287037037037035)],[1],[0],[0],[2.1199544998817146],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
14,0,14,[np.float64(0.33101851851851855)],[np.float64(0.29398148148148145)],[1],[0],[0],[1.811467699939385],['Target'],14,0,14,0,24.814411900006235,,5,24.80778449983336,24.814411900006235,24.814411900006235,0.017900299979373813,26.619328300002962,[np.float64(0.33101851851851855)],[np.float64(0.29398148148148145)],[1],[0],[0],[1.811467699939385],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
15,0,15,[np.float64(0.07060185185185185)],[np.float64(-0.3275462962962963)],[1],[0],[0],[1.6614055999089032],['Target'],15,0,15,0,26.636045399820432,,5,26.63040169980377,26.636045399820432,26.636045399820432,0.010926200076937675,28.291914699831977,[np.float64(0.07060185185185185)],[np.float64(-0.3275462962962963)],[1],[0],[0],[1.6614055999089032],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
16,0,16,[np.float64(0.2337962962962963)],[np.float64(0.46064814814814814)],[1],[0],[0],[2.492280200123787],['Target'],16,0,16,0,28.338714699959382,,10,28.327277399832383,28.338714699959382,28.338714699959382,0.03518250002525747,30.81965859979391,[np.float64(0.2337962962962963)],[np.float64(0.46064814814814814)],[1],[0],[0],[2.492280200123787],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
17,0,17,[np.float64(-0.11458333333333333)],[np.float64(0.36226851851851855)],[1],[0],[0],[1.2951121998485178],['Target'],17,0,17,0,30.84510299982503,,5,30.838694299804047,30.84510299982503,30.84510299982503,0.018817999865859747,32.13389419997111,[np.float64(-0.11458333333333333)],[np.float64(0.36226851851851855)],[1],[0],[0],[1.2951121998485178],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
18,0,18,[np.float64(-0.25925925925925924)],[np.float64(0.15046296296296297)],[1],[0],[0],[1.237153199966997],['Target'],18,0,18,0,32.151827699970454,,5,32.14590539992787,32.151827699970454,32.151827699970454,0.011870700167492032,33.38316829991527,[np.float64(-0.25925925925925924)],[np.float64(0.15046296296296297)],[1],[0],[0],[1.237153199966997],['Target'],086801,001,2025-09-30_18h54.51.710,Visual search,,2025.1.1,117.3768160494109,2025-09-30 18h54.52.836497 +0530,
