thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.3819444444444444)],[np.float64(-0.46875)],[1],[0],[0],[3.521680200006813],['Target'],0,0,0,0,0.024321299977600574,,5,0.017567999893799424,0.024321299977600574,0.024321299977600574,0.017587299924343824,3.539310999913141,[np.float64(-0.3819444444444444)],[np.float64(-0.46875)],[1],[0],[0],[3.521680200006813],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
1,0,1,[np.float64(0.2013888888888889)],[np.float64(-0.13773148148148148)],[1],[0],[0],[2.446344700176269],['Target'],1,0,1,0,3.584379500010982,,10,3.571355100022629,3.584379500010982,3.584379500010982,0.03196280007250607,6.0177960998844355,[np.float64(0.2013888888888889)],[np.float64(-0.13773148148148148)],[1],[0],[0],[2.446344700176269],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
2,0,2,[np.float64(-0.3541666666666667)],[np.float64(-0.13310185185185186)],[1],[0],[0],[8.621135900029913],['Target'],2,0,2,0,6.035820999881253,,5,6.030530699994415,6.035820999881253,6.035820999881253,0.012496699811890721,14.65178669989109,[np.float64(-0.3541666666666667)],[np.float64(-0.13310185185185186)],[1],[0],[0],[8.621135900029913],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
3,0,3,[np.float64(0.22916666666666666)],[np.float64(-0.024305555555555556)],[1],[0],[0],[1.607918499968946],['Target'],3,0,3,0,14.672960099996999,,5,14.66622669994831,14.672960099996999,14.672960099996999,0.014245500089600682,16.27423890004866,[np.float64(0.22916666666666666)],[np.float64(-0.024305555555555556)],[1],[0],[0],[1.607918499968946],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
4,0,4,[np.float64(-0.2708333333333333)],[np.float64(-0.28125)],[1],[0],[0],[1.8929677000269294],['Target'],4,0,4,0,16.30204139999114,,10,16.294899999862537,16.30204139999114,16.30204139999114,0.0204950999468565,18.187993299914524,[np.float64(-0.2708333333333333)],[np.float64(-0.28125)],[1],[0],[0],[1.8929677000269294],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
5,0,5,[np.float64(0.06481481481481481)],[np.float64(0.3958333333333333)],[1],[0],[0],[1.4368483999278396],['Target'],5,0,5,0,18.216720100026578,,5,18.207441499922425,18.216720100026578,18.216720100026578,0.01921509997919202,19.644381099846214,[np.float64(0.06481481481481481)],[np.float64(0.3958333333333333)],[1],[0],[0],[1.4368483999278396],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
6,0,6,[np.float64(0.49421296296296297)],[np.float64(0.04976851851851852)],[1],[0],[0],[1.6653737998567522],['Target'],6,0,6,0,19.710603199899197,,5,19.658364899922162,19.710603199899197,19.710603199899197,0.013786700088530779,21.3238595998846,[np.float64(0.49421296296296297)],[np.float64(0.04976851851851852)],[1],[0],[0],[1.6653737998567522],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
7,0,7,[np.float64(0.24189814814814814)],[np.float64(0.40046296296296297)],[1],[0],[0],[1.522615399910137],['Target'],7,0,7,0,21.35552840004675,,10,21.348349999869242,21.35552840004675,21.35552840004675,0.02428070013411343,22.87107490003109,[np.float64(0.24189814814814814)],[np.float64(0.40046296296296297)],[1],[0],[0],[1.522615399910137],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
8,0,8,[np.float64(-0.06712962962962964)],[np.float64(-0.3402777777777778)],[1],[0],[0],[1.5683943000622094],['Target'],8,0,8,0,22.888937099836767,,5,22.883787999860942,22.888937099836767,22.888937099836767,0.012480500154197216,24.45230029989034,[np.float64(-0.06712962962962964)],[np.float64(-0.3402777777777778)],[1],[0],[0],[1.5683943000622094],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
9,0,9,[np.float64(-0.34953703703703703)],[np.float64(-0.29282407407407407)],[1],[0],[0],[1.023730899905786],['Target'],9,0,9,0,24.4728675999213,,5,24.46797430003062,24.4728675999213,24.4728675999213,0.015473499894142151,25.491823100019246,[np.float64(-0.34953703703703703)],[np.float64(-0.29282407407407407)],[1],[0],[0],[1.023730899905786],['Target'],819760,001,2025-09-30_19h01.27.735,Visual search,,2025.1.1,119.37661562505264,2025-09-30 19h01.28.846864 +0530,
