thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.38657407407407407)],[np.float64(0.03356481481481482)],[1],[0],[0],[9.77132870000787],['Target'],0,0,0,0,0.03964799991808832,,10,0.030542299849912524,0.03964799991808832,0.03964799991808832,0.030563200125470757,9.801987699931487,[np.float64(-0.38657407407407407)],[np.float64(0.03356481481481482)],[1],[0],[0],[9.77132870000787],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
1,0,1,[np.float64(-0.041666666666666664)],[np.float64(-0.36689814814814814)],[1],[0],[0],[2.979352300055325],['Target'],1,0,1,0,9.839634299976751,,10,9.832652400014922,9.839634299976751,9.839634299976751,0.030405400088056922,12.812107299920171,[np.float64(-0.041666666666666664)],[np.float64(-0.36689814814814814)],[1],[0],[0],[2.979352300055325],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
2,0,2,[np.float64(-0.11805555555555555)],[np.float64(-0.17592592592592593)],[1],[0],[0],[2.149464000016451],['Target'],2,0,2,0,12.833721099887043,,5,12.828343299916014,12.833721099887043,12.833721099887043,0.016016900073736906,14.977985699893907,[np.float64(-0.11805555555555555)],[np.float64(-0.17592592592592593)],[1],[0],[0],[2.149464000016451],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
3,0,3,[np.float64(-0.4849537037037037)],[np.float64(-0.28935185185185186)],[1],[0],[0],[1.5207559999544173],['Target'],3,0,3,0,15.017773299943656,,10,15.010201199911535,15.017773299943656,15.017773299943656,0.03202700009569526,16.531061500078067,[np.float64(-0.4849537037037037)],[np.float64(-0.28935185185185186)],[1],[0],[0],[1.5207559999544173],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
4,0,4,[np.float64(-0.29282407407407407)],[np.float64(0.31712962962962965)],[1],[0],[0],[2.721240899991244],['Target'],4,0,4,0,16.556252100039274,,5,16.54726259992458,16.556252100039274,16.556252100039274,0.015991500113159418,19.268606700003147,[np.float64(-0.29282407407407407)],[np.float64(0.31712962962962965)],[1],[0],[0],[2.721240899991244],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
5,0,5,[np.float64(-0.15856481481481483)],[np.float64(-0.11805555555555555)],[1],[0],[0],[1.3348004000727087],['Target'],5,0,5,0,19.303876999998465,,10,19.296840699855238,19.303876999998465,19.303876999998465,0.028042499907314777,20.631733800051734,[np.float64(-0.15856481481481483)],[np.float64(-0.11805555555555555)],[1],[0],[0],[1.3348004000727087],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
6,0,6,[np.float64(-0.05787037037037037)],[np.float64(-0.4363425925925926)],[1],[0],[0],[1.863221999956295],['Target'],6,0,6,0,20.665670099901035,,10,20.658364600036293,20.665670099901035,20.665670099901035,0.026455000042915344,22.52170139993541,[np.float64(-0.05787037037037037)],[np.float64(-0.4363425925925926)],[1],[0],[0],[1.863221999956295],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
7,0,7,[np.float64(0.4039351851851852)],[np.float64(0.41898148148148145)],[1],[0],[0],[2.5810554998461157],['Target'],7,0,7,0,22.559473499888554,,10,22.551942199934274,22.559473499888554,22.559473499888554,0.03001129999756813,25.13310860004276,[np.float64(0.4039351851851852)],[np.float64(0.41898148148148145)],[1],[0],[0],[2.5810554998461157],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
8,0,8,[np.float64(-0.4409722222222222)],[np.float64(-0.48842592592592593)],[1],[0],[0],[2.269239400047809],['Target'],8,0,8,0,25.15618130005896,,5,25.15040050004609,25.15618130005896,25.15618130005896,0.01704910001717508,27.419749799882993,[np.float64(-0.4409722222222222)],[np.float64(-0.48842592592592593)],[1],[0],[0],[2.269239400047809],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
9,0,9,[np.float64(-0.38657407407407407)],[np.float64(-0.1574074074074074)],[1],[0],[0],[1.5203553000465035],['Target'],9,0,9,0,27.453971999930218,,10,27.446410099975765,27.453971999930218,27.453971999930218,0.026455099927261472,28.966874999925494,[np.float64(-0.38657407407407407)],[np.float64(-0.1574074074074074)],[1],[0],[0],[1.5203553000465035],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
10,0,10,[np.float64(0.4340277777777778)],[np.float64(0.4363425925925926)],[1],[0],[0],[2.584933799924329],['Target'],10,0,10,0,28.992793899960816,,5,28.986757499864325,28.992793899960816,28.992793899960816,0.019662800012156367,31.571809799876064,[np.float64(0.4340277777777778)],[np.float64(0.4363425925925926)],[1],[0],[0],[2.584933799924329],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
11,0,11,[np.float64(0.07060185185185185)],[np.float64(0.2037037037037037)],[1],[0],[0],[1.999082599999383],['Target'],11,0,11,0,31.600822699954733,,10,31.593825199874118,31.600822699954733,31.600822699954733,0.02180159999988973,33.59302349993959,[np.float64(0.07060185185185185)],[np.float64(0.2037037037037037)],[1],[0],[0],[1.999082599999383],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
12,0,12,[np.float64(-0.1388888888888889)],[np.float64(-0.2337962962962963)],[1],[0],[0],[2.17226090002805],['Target'],12,0,12,0,33.624742300016806,,10,33.61639399989508,33.624742300016806,33.624742300016806,0.023140300065279007,35.78877029987052,[np.float64(-0.1388888888888889)],[np.float64(-0.2337962962962963)],[1],[0],[0],[2.17226090002805],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
13,0,13,[np.float64(-0.4236111111111111)],[np.float64(0.06481481481481481)],[1],[0],[0],[2.040499000111595],['Target'],13,0,13,0,35.81818449986167,,10,35.81135299988091,35.81818449986167,35.81818449986167,0.022355100139975548,37.8519740998745,[np.float64(-0.4236111111111111)],[np.float64(0.06481481481481481)],[1],[0],[0],[2.040499000111595],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
14,0,14,[np.float64(-0.05787037037037037)],[np.float64(-0.4224537037037037)],[1],[0],[0],[2.2998082998674363],['Target'],14,0,14,0,37.88763769995421,,10,37.87979210005142,37.88763769995421,37.88763769995421,0.0277193000074476,40.17970320000313,[np.float64(-0.05787037037037037)],[np.float64(-0.4224537037037037)],[1],[0],[0],[2.2998082998674363],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
15,0,15,[np.float64(0.41087962962962965)],[np.float64(-0.10300925925925926)],[1],[0],[0],[2.978394899982959],['Target'],15,0,15,0,40.21306880004704,,10,40.20454509998672,40.21306880004704,40.21306880004704,0.02461399999447167,43.18299679993652,[np.float64(0.41087962962962965)],[np.float64(-0.10300925925925926)],[1],[0],[0],[2.978394899982959],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
16,0,16,[np.float64(0.25810185185185186)],[np.float64(-0.0023148148148148147)],[1],[0],[0],[2.8505189998541027],['Target'],16,0,16,0,43.209980400046334,,10,43.20293050003238,43.209980400046334,43.209980400046334,0.019742699805647135,46.05355509999208,[np.float64(0.25810185185185186)],[np.float64(-0.0023148148148148147)],[1],[0],[0],[2.8505189998541027],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
17,0,17,[np.float64(0.10069444444444445)],[np.float64(0.09027777777777778)],[1],[0],[0],[2.419774399837479],['Target'],17,0,17,0,46.07808190002106,,5,46.071759700076655,46.07808190002106,46.07808190002106,0.017987400060519576,48.49163899989799,[np.float64(0.10069444444444445)],[np.float64(0.09027777777777778)],[1],[0],[0],[2.419774399837479],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
18,0,18,[np.float64(-0.38657407407407407)],[np.float64(0.015046296296296295)],[1],[0],[0],[3.2289582998491824],['Target'],18,0,18,0,48.53025730000809,,10,48.52300509996712,48.53025730000809,48.53025730000809,0.031180999940261245,51.752093399874866,[np.float64(-0.38657407407407407)],[np.float64(0.015046296296296295)],[1],[0],[0],[3.2289582998491824],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
19,0,19,[np.float64(0.14583333333333334)],[np.float64(0.32175925925925924)],[1],[0],[0],[2.8332533999346197],['Target'],19,0,19,0,51.77959430008195,,5,51.77231210004538,51.77959430008195,51.77959430008195,0.019981899997219443,54.605629900004715,[np.float64(0.14583333333333334)],[np.float64(0.32175925925925924)],[1],[0],[0],[2.8332533999346197],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
20,0,20,[np.float64(0.16435185185185186)],[np.float64(-0.35300925925925924)],[1],[0],[0],[3.7781676000449806],['Target'],20,0,20,0,54.64654330001213,,10,54.636491500074044,54.64654330001213,54.64654330001213,0.030715799890458584,58.41476369998418,[np.float64(0.16435185185185186)],[np.float64(-0.35300925925925924)],[1],[0],[0],[3.7781676000449806],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
21,0,21,[np.float64(-0.45601851851851855)],[np.float64(0.1736111111111111)],[1],[0],[0],[1.970689499983564],['Target'],21,0,21,0,58.44021809985861,,5,58.43222810002044,58.44021809985861,58.44021809985861,0.01727870013564825,60.40298829996027,[np.float64(-0.45601851851851855)],[np.float64(0.1736111111111111)],[1],[0],[0],[1.970689499983564],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
22,0,22,[np.float64(-0.3761574074074074)],[np.float64(-0.008101851851851851)],[1],[0],[0],[1.3770438998471946],['Target'],22,0,22,0,60.441024699946865,,10,60.430263000074774,60.441024699946865,60.441024699946865,0.02713359985500574,61.80738090001978,[np.float64(-0.3761574074074074)],[np.float64(-0.008101851851851851)],[1],[0],[0],[1.3770438998471946],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
23,0,23,[np.float64(0.2800925925925926)],[np.float64(-0.0023148148148148147)],[1],[0],[0],[2.650841300142929],['Target'],23,0,23,0,61.83444510004483,,10,61.82662509987131,61.83444510004483,61.83444510004483,0.01909810001961887,64.47754519991577,[np.float64(0.2800925925925926)],[np.float64(-0.0023148148148148147)],[1],[0],[0],[2.650841300142929],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
24,0,24,[np.float64(0.3020833333333333)],[np.float64(0.06481481481481481)],[1],[0],[0],[1.1217884998768568],['Target'],24,0,24,0,64.51183649990708,,10,64.5048382000532,64.51183649990708,64.51183649990708,0.02713219984434545,65.62671500002034,[np.float64(0.3020833333333333)],[np.float64(0.06481481481481481)],[1],[0],[0],[1.1217884998768568],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
25,0,25,[np.float64(-0.2800925925925926)],[np.float64(0.32060185185185186)],[1],[0],[0],[2.413870699936524],['Target'],25,0,25,0,65.65657130000181,,10,65.6495051998645,65.65657130000181,65.65657130000181,0.022593399975448847,68.06346209999174,[np.float64(-0.2800925925925926)],[np.float64(0.32060185185185186)],[1],[0],[0],[2.413870699936524],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
26,0,26,[np.float64(-0.21643518518518517)],[np.float64(-0.4849537037037037)],[1],[0],[0],[2.960111999884248],['Target'],26,0,26,0,68.10538970003836,,10,68.09192060003988,68.10538970003836,68.10538970003836,0.02829729998484254,71.05213600001298,[np.float64(-0.21643518518518517)],[np.float64(-0.4849537037037037)],[1],[0],[0],[2.960111999884248],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
27,0,27,[np.float64(-0.06712962962962964)],[np.float64(0.21412037037037038)],[1],[0],[0],[2.4294257001020014],['Target'],27,0,27,0,71.07281249994412,,5,71.06776580004953,71.07281249994412,71.07281249994412,0.015391399851068854,73.49730399996042,[np.float64(-0.06712962962962964)],[np.float64(0.21412037037037038)],[1],[0],[0],[2.4294257001020014],['Target'],191170,001,2025-09-30_19h07.51.236,Visual search,,2025.1.1,115.77075541440561,2025-09-30 19h07.52.319230 +0530,
