Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0050588,0.0122033,0.0122033,14.456431,space,14.4380009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Cold,Frigid,Hot,Frigid,Hot,similar,Frigid,0,0,0,left,0,4.5363253,None,,,,,,,,,,,,0,0,0,17,,,,,14.5122392,,,,,,,,,14.5022942,14.5122392,14.5122392,14.5122392,14.9570494,14.9570494,14.9570494,14.9570494,15.0047062,19.0509585,left,0,4.5363253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Begin,Initiate,Conclude,Initiate,Conclude,similar,Initiate,1,1,0,left,0,3.5785145,None,,,,,,,,,,,,0,1,1,15,,,,,19.0738735,,,,,,,,,19.0672529,19.0738735,19.0738735,19.0738735,19.5463281,19.5463281,19.5463281,19.5463281,19.5715866,22.6582388,left,0,3.5785145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Heavy,Burdensome,Light,Burdensome,Light,opposite,Light,2,2,0,right,0,3.2442796,None,,,,,,,,,,,,0,2,2,36,,,,,22.6833719,,,,,,,,,22.6770151,22.6833719,22.6833719,22.6833719,23.1568656,23.1568656,23.1568656,23.1568656,23.1819212,25.9356212,right,0,3.2442796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Fresh,Novel,Rotten,Novel,Rotten,opposite,Rotten,3,3,0,right,0,2.9855675,None,,,,,,,,,,,,0,3,3,38,,,,,25.9606048,,,,,,,,,25.9556702,25.9606048,25.9606048,25.9606048,26.426328,26.426328,26.426328,26.426328,26.459328,28.947579,right,0,2.9855675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Close,Near,Distant,Near,Distant,opposite,Distant,4,4,0,left,0,3.2809494,None,,,,,,,,,,,,0,4,4,28,,,,,28.9686667,,,,,,,,,28.9614959,28.9686667,28.9686667,28.9686667,29.4451803,29.4451803,29.4451803,29.4451803,29.4620483,32.2571976,left,0,3.2809494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Joy,Delight,Misery,Delight,Misery,similar,Delight,5,5,0,left,0,2.7609277,None,,,,,,,,,,,,0,5,5,45,,,,,32.2751333,,,,,,,,,32.2709707,32.2751333,32.2751333,32.2751333,32.7559583,32.7559583,32.7559583,32.7559583,32.7724554,35.0438491,left,0,2.7609277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Funny,Humorous,Solemn,Humorous,Solemn,similar,Humorous,6,6,0,left,0,2.1603048,None,,,,,,,,,,,,0,6,6,8,,,,,35.0557829,,,,,,,,,35.0519957,35.0557829,35.0557829,35.0557829,35.5345454,35.5345454,35.5345454,35.5345454,35.5514101,37.2242498,left,0,2.1603048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Sweet,Sugary,Bitter,Sugary,Bitter,opposite,Bitter,7,7,0,right,0,2.1855249,None,,,,,,,,,,,,0,7,7,31,,,,,37.2403899,,,,,,,,,37.236347,37.2403899,37.2403899,37.2403899,37.7225378,37.7225378,37.7225378,37.7225378,37.7392856,39.4282302,right,0,2.1855249,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Tall,Towering,Short,Towering,Short,similar,Towering,8,8,0,left,0,2.4001759,None,,,,,,,,,,,,0,8,8,42,,,,,39.4480132,,,,,,,,,39.4411487,39.4480132,39.4480132,39.4480132,39.9187312,39.9187312,39.9187312,39.9187312,39.9437947,41.8492965,left,0,2.4001759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Trust,Believe,Distrust,Believe,Distrust,similar,Believe,9,9,0,left,0,2.4257272,None,,,,,,,,,,,,0,9,9,47,,,,,41.8683507,,,,,,,,,41.8619434,41.8683507,41.8683507,41.8683507,42.3509105,42.3509105,42.3509105,42.3509105,42.3570421,44.2950914,left,0,2.4257272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Bright,Luminous,Dim,Luminous,Dim,opposite,Dim,10,10,0,right,0,3.7752513,None,,,,,,,,,,,,0,10,10,1,,,,,44.3166461,,,,,,,,,44.3108761,44.3166461,44.3166461,44.3166461,44.7975059,44.7975059,44.7975059,44.7975059,44.8097612,48.0960858,right,0,3.7752513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Wide,Expansive,Narrow,Expansive,Narrow,similar,Expansive,11,11,0,left,0,3.1148356,None,,,,,,,,,,,,0,11,11,27,,,,,48.1174706,,,,,,,,,48.1133509,48.1174706,48.1174706,48.1174706,48.5872427,48.5872427,48.5872427,48.5872427,48.6116561,51.2409432,left,0,3.1148356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Smart,Astute,Foolish,Astute,Foolish,similar,Astute,12,12,0,left,0,2.1265077,None,,,,,,,,,,,,0,12,12,12,,,,,51.2593543,,,,,,,,,51.254447,51.2593543,51.2593543,51.2593543,51.7408261,51.7408261,51.7408261,51.7408261,51.7560578,53.3880147,left,0,2.1265077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Kind,Benevolent,Cruel,Benevolent,Cruel,similar,Benevolent,13,13,0,left,0,2.6199391,None,,,,,,,,,,,,0,13,13,19,,,,,53.4077684,,,,,,,,,53.4023311,53.4077684,53.4077684,53.4077684,53.8911976,53.8911976,53.8911976,53.8911976,53.8974739,56.0315882,left,0,2.6199391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Clean,Immaculate,Dirty,Immaculate,Dirty,opposite,Dirty,14,14,0,right,0,2.7548108,None,,,,,,,,,,,,0,14,14,21,,,,,56.0473623,,,,,,,,,56.0424587,56.0473623,56.0473623,56.0473623,56.5233994,56.5233994,56.5233994,56.5233994,56.5391249,58.8107535,right,0,2.7548108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Soft,Supple,Hard,Supple,Hard,opposite,Hard,15,15,0,right,0,2.7065879,None,,,,,,,,,,,,0,15,15,25,,,,,58.8273615,,,,,,,,,58.8229671,58.8273615,58.8273615,58.8273615,59.3029957,59.3029957,59.3029957,59.3029957,59.3257024,61.5393801,right,0,2.7065879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Fear,Dread,Courage,Dread,Courage,similar,Dread,16,16,0,left,0,4.4539243,None,,,,,,,,,,,,0,16,16,44,,,,,61.5580638,,,,,,,,,61.5531986,61.5580638,61.5580638,61.5580638,62.0431718,62.0431718,62.0431718,62.0431718,62.0498798,66.0143409,left,0,4.4539243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Smooth,Sleek,Rough,Sleek,Rough,opposite,Rough,17,17,0,left,0,2.4627825,None,,,,,,,,,,,,0,17,17,41,,,,,66.0390826,,,,,,,,,66.0320751,66.0390826,66.0390826,66.0390826,66.5193856,66.5193856,66.5193856,66.5193856,66.5319992,68.5099687,left,0,2.4627825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Proud,Conceited,Humble,Conceited,Humble,similar,Conceited,18,18,0,left,0,4.484654,None,,,,,,,,,,,,0,18,18,32,,,,,68.5354137,,,,,,,,,68.5308423,68.5354137,68.5354137,68.5354137,69.0130598,69.0130598,69.0130598,69.0130598,69.0255023,73.0274259,left,0,4.484654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
Hope,Optimism,Despair,Optimism,Despair,similar,Optimism,19,19,0,left,0,2.624499,None,,,,,,,,,,,,0,19,19,46,,,,,73.0478536,,,,,,,,,73.0434803,73.0478536,73.0478536,73.0478536,73.5304551,73.5304551,73.5304551,73.5304551,73.5363488,75.6807739,left,0,2.624499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P5,1,2025-11-24_19h54.03.310,Solo Project,,2025.1.1,120.2214961,2025-11-24 19h54.37.960291 +0530
