Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Begin,Initiate,Conclude,Initiate,Conclude,similar,Initiate,9,9,0,left,0,6.5822874000296,None,,,,,,,,,,,,0,9,9,15,,,,,73.82083970005624,,,,,,,,,73.81383720005397,73.82083970005624,73.82083970005624,73.82083970005624,74.29184409999289,74.29184409999289,74.29184409999289,74.29184409999289,74.31639159994666,80.40611630002968,left,0,6.5822874000296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Sweet,Sugary,Bitter,Sugary,Bitter,opposite,Bitter,10,10,0,right,0,3.7749703999143094,None,,,,,,,,,,,,0,10,10,31,,,,,80.42786649998743,,,,,,,,,80.42085520003457,80.42786649998743,80.42786649998743,80.42786649998743,80.9054080999922,80.9054080999922,80.9054080999922,80.9054080999922,80.9211854999885,84.20754800003488,right,0,3.7749703999143094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Tired,Weary,Energetic,Weary,Energetic,opposite,Energetic,11,11,0,right,0,3.835678100003861,None,,,,,,,,,,,,0,11,11,16,,,,,84.22536799998488,,,,,,,,,84.22102349996567,84.22536799998488,84.22536799998488,84.22536799998488,84.69897050003055,84.69897050003055,84.69897050003055,84.69897050003055,84.72275109996554,88.06796500005294,right,0,3.835678100003861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Quiet,Tranquil,Loud,Tranquil,Loud,opposite,Loud,12,12,0,right,0,5.417064300039783,None,,,,,,,,,,,,0,12,12,39,,,,,88.08637579996139,,,,,,,,,88.08241190004628,88.08637579996139,88.08637579996139,88.08637579996139,88.56917599996086,88.56917599996086,88.56917599996086,88.56917599996086,88.5747718999628,93.5073930999497,right,0,5.417064300039783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Close,Near,Distant,Near,Distant,opposite,Distant,13,13,0,right,0,3.506140899960883,None,,,,,,,,,,,,0,13,13,28,,,,,93.51868760003708,,,,,,,,,93.51525409996975,93.51868760003708,93.51868760003708,93.51868760003708,94.00619350001216,94.00619350001216,94.00619350001216,94.00619350001216,94.01456479995977,97.02638109994587,right,0,3.506140899960883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Slow,Leisurely,Rapid,Leisurely,Rapid,similar,Leisurely,14,14,0,left,0,6.380825900007039,None,,,,,,,,,,,,0,14,14,23,,,,,97.04582080000546,,,,,,,,,97.04081709997263,97.04582080000546,97.04582080000546,97.04582080000546,97.51653270004317,97.51653270004317,97.51653270004317,97.51653270004317,97.54149840003811,103.4311655999627,left,0,6.380825900007039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Funny,Humorous,Solemn,Humorous,Solemn,similar,Humorous,15,15,0,left,0,12.045098799979314,None,,,,,,,,,,,,0,15,15,8,,,,,103.44233810005244,,,,,,,,,103.43739410000853,103.44233810005244,103.44233810005244,103.44233810005244,103.92226240003947,103.92226240003947,103.92226240003947,103.92226240003947,103.93856429995503,115.4936294000363,left,0,12.045098799979314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Bright,Luminous,Dim,Luminous,Dim,opposite,Dim,16,16,0,right,0,14.936808499973267,None,,,,,,,,,,,,0,16,16,1,,,,,115.51074279996101,,,,,,,,,115.50634840002749,115.51074279996101,115.51074279996101,115.51074279996101,115.99234019999858,115.99234019999858,115.99234019999858,115.99234019999858,116.00879680004437,130.45044619997498,right,0,14.936808499973267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Curious,Inquisitive,Indifferent,Inquisitive,Indifferent,similar,Inquisitive,17,17,0,left,0,11.610037600039504,None,,,,,,,,,,,,0,17,17,49,,,,,130.47101340000518,,,,,,,,,130.46457860001829,130.47101340000518,130.47101340000518,130.47101340000518,130.9489185999846,130.9489185999846,130.9489185999846,130.9489185999846,130.965533999959,142.08814220002387,left,0,11.610037600039504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Brave,Valiant,Cowardly,Valiant,Cowardly,similar,Valiant,18,18,0,left,0,17.126100199995562,None,,,,,,,,,,,,0,18,18,13,,,,,142.10867109999526,,,,,,,,,142.10349769995082,142.10867109999526,142.10867109999526,142.10867109999526,142.5869478000095,142.5869478000095,142.5869478000095,142.5869478000095,142.6036445000209,159.24144849996082,left,0,17.126100199995562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
