thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.0023148148148148147)],[np.float64(-0.006944444444444444)],[1],[0],[0],[5.125062100123614],['Target'],0,0,0,0,0.03168889996595681,,5,0.022981999907642603,0.03168889996595681,0.03168889996595681,0.023006300209090114,5.148120399797335,[np.float64(-0.0023148148148148147)],[np.float64(-0.006944444444444444)],[1],[0],[0],[5.125062100123614],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
1,0,1,[np.float64(0.3472222222222222)],[np.float64(0.19560185185185186)],[1],[0],[0],[1.538100500125438],['Target'],1,0,1,0,5.163315800018609,,5,5.158278299961239,5.163315800018609,5.163315800018609,0.010005000047385693,6.696525399805978,[np.float64(0.3472222222222222)],[np.float64(0.19560185185185186)],[1],[0],[0],[1.538100500125438],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
2,0,2,[np.float64(-0.06365740740740741)],[np.float64(-0.034722222222222224)],[1],[0],[0],[1.4267305000685155],['Target'],2,0,2,0,6.720921200001612,,5,6.715436199912801,6.720921200001612,6.720921200001612,0.018673099810257554,8.142284399829805,[np.float64(-0.06365740740740741)],[np.float64(-0.034722222222222224)],[1],[0],[0],[1.4267305000685155],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
3,0,3,[np.float64(0.3460648148148148)],[np.float64(-0.46064814814814814)],[1],[0],[0],[2.622624299954623],['Target'],3,0,3,0,8.161875299876556,,5,8.157070499844849,8.161875299876556,8.161875299876556,0.014557000016793609,10.779819499934092,[np.float64(0.3460648148148148)],[np.float64(-0.46064814814814814)],[1],[0],[0],[2.622624299954623],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
4,0,4,[np.float64(-0.1736111111111111)],[np.float64(0.2673611111111111)],[1],[0],[0],[1.6562542000319809],['Target'],4,0,4,0,10.799976699985564,,5,10.795124599942937,10.799976699985564,10.799976699985564,0.015097500057891011,12.451519799884409,[np.float64(-0.1736111111111111)],[np.float64(0.2673611111111111)],[1],[0],[0],[1.6562542000319809],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
5,0,5,[np.float64(0.4525462962962963)],[np.float64(-0.17708333333333334)],[1],[0],[0],[1.5986585998907685],['Target'],5,0,5,0,12.483314899960533,,10,12.47594269993715,12.483314899960533,12.483314899960533,0.024170800112187862,14.074711799854413,[np.float64(0.4525462962962963)],[np.float64(-0.17708333333333334)],[1],[0],[0],[1.5986585998907685],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
6,0,6,[np.float64(0.2361111111111111)],[np.float64(-0.2152777777777778)],[1],[0],[0],[1.3001631000079215],['Target'],6,0,6,0,14.113385699922219,,10,14.105699399951845,14.113385699922219,14.113385699922219,0.030750799924135208,15.406103799818084,[np.float64(0.2361111111111111)],[np.float64(-0.2152777777777778)],[1],[0],[0],[1.3001631000079215],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
7,0,7,[np.float64(0.3506944444444444)],[np.float64(-0.12037037037037036)],[1],[0],[0],[0.9340482000261545],['Target'],7,0,7,0,15.433307999977842,,10,15.42629039986059,15.433307999977842,15.433307999977842,0.01995979994535446,16.360392699949443,[np.float64(0.3506944444444444)],[np.float64(-0.12037037037037036)],[1],[0],[0],[0.9340482000261545],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
8,0,8,[np.float64(0.3726851851851852)],[np.float64(0.05092592592592592)],[1],[0],[0],[1.1155967998784035],['Target'],8,0,8,0,16.42374309990555,,5,16.370182999875396,16.42374309990555,16.42374309990555,0.009685699827969074,17.485892499797046,[np.float64(0.3726851851851852)],[np.float64(0.05092592592592592)],[1],[0],[0],[1.1155967998784035],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
9,0,9,[np.float64(-0.10416666666666667)],[np.float64(0.2037037037037037)],[1],[0],[0],[2.593487000092864],['Target'],9,0,9,0,17.518120699794963,,10,17.510505199898034,17.518120699794963,17.518120699794963,0.024412699975073338,20.104108599945903,[np.float64(-0.10416666666666667)],[np.float64(0.2037037037037037)],[1],[0],[0],[2.593487000092864],['Target'],430052,001,2025-09-30_19h14.11.108,Visual search,,2025.1.1,119.66231277807508,2025-09-30 19h14.12.130534 +0530,
