Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Fear,Dread,Courage,Dread,Courage,similar,Dread,9,9,0,left,0,5.2454026,None,,,,,,,,,,,,0,9,9,44,,,,,119.12384,,,,,,,,,119.119409,119.12384,119.12384,119.12384,119.6056651,119.6056651,119.6056651,119.6056651,119.6232305,124.372891,left,0,5.2454026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Hard,Arduous,Soft,Arduous,Soft,opposite,Soft,10,10,0,right,0,3.0894337,None,,,,,,,,,,,,0,10,10,5,,,,,124.3941126,,,,,,,,,124.3881803,124.3941126,124.3941126,124.3941126,124.863196,124.863196,124.863196,124.863196,124.8883728,127.485842,right,0,3.0894337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Hope,Optimism,Despair,Optimism,Despair,similar,Optimism,11,11,0,left,0,7.0068593,None,,,,,,,,,,,,0,11,11,46,,,,,127.5090522,,,,,,,,,127.5027184,127.5090522,127.5090522,127.5090522,127.9825159,127.9825159,127.9825159,127.9825159,128.007438,134.5223048,left,0,7.0068593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Smooth,Sleek,Rough,Sleek,Rough,opposite,Rough,12,12,0,right,0,2.9518393,None,,,,,,,,,,,,0,12,12,41,,,,,134.5401141,,,,,,,,,134.5348496,134.5401141,134.5401141,134.5401141,135.0204405,135.0204405,135.0204405,135.0204405,135.037296,137.5000754,right,0,2.9518393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Happy,Elated,Miserable,Elated,Miserable,similar,Elated,13,13,0,left,0,5.1275945,None,,,,,,,,,,,,0,13,13,9,,,,,137.5233334,,,,,,,,,137.518372,137.5233334,137.5233334,137.5233334,137.9985309,137.9985309,137.9985309,137.9985309,138.0152764,142.6568129,left,0,5.1275945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Sweet,Sugary,Bitter,Sugary,Bitter,opposite,Bitter,14,14,0,right,0,3.2103048,None,,,,,,,,,,,,0,14,14,31,,,,,142.668963,,,,,,,,,142.6654334,142.668963,142.668963,142.668963,143.1472555,143.1472555,143.1472555,143.1472555,143.1638893,145.8846324,right,0,3.2103048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Clean,Immaculate,Dirty,Immaculate,Dirty,opposite,Dirty,15,15,0,right,0,2.7985713,None,,,,,,,,,,,,0,15,15,21,,,,,145.9006972,,,,,,,,,145.8958781,145.9006972,145.9006972,145.9006972,146.3756232,146.3756232,146.3756232,146.3756232,146.3919416,148.7048581,right,0,2.7985713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Tired,Weary,Energetic,Weary,Energetic,opposite,Energetic,16,16,0,right,0,7.1353759,None,,,,,,,,,,,,0,16,16,16,,,,,148.7204125,,,,,,,,,148.7155998,148.7204125,148.7204125,148.7204125,149.2033976,149.2033976,149.2033976,149.2033976,149.2119132,155.8585889,right,0,7.1353759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Large,Massive,Tiny,Massive,Tiny,similar,Massive,17,17,0,left,0,8.243351,None,,,,,,,,,,,,0,17,17,11,,,,,155.877491,,,,,,,,,155.8727248,155.877491,155.877491,155.877491,156.3490347,156.3490347,156.3490347,156.3490347,156.3740878,164.1277633,left,0,8.243351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Proud,Conceited,Humble,Conceited,Humble,similar,Conceited,18,18,0,left,0,8.4070086,None,,,,,,,,,,,,0,18,18,32,,,,,164.1485681,,,,,,,,,164.141399,164.1485681,164.1485681,164.1485681,164.6263369,164.6263369,164.6263369,164.6263369,164.6426264,172.562773,left,0,8.4070086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
