Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Curious,Inquisitive,Indifferent,Inquisitive,Indifferent,similar,Inquisitive,9,9,0,left,0,4.6479887,None,,,,,,,,,,,,0,9,9,49,,,,,80.7589592,,,,,,,,,80.7548208,80.7589592,80.7589592,80.7589592,81.2383697,81.2383697,81.2383697,81.2383697,81.2517604,85.41222,left,0,4.6479887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Rough,Abrasive,Smooth,Abrasive,Smooth,opposite,Smooth,10,10,0,right,0,5.0030238,None,,,,,,,,,,,,0,10,10,40,,,,,85.4321087,,,,,,,,,85.4272271,85.4321087,85.4321087,85.4321087,85.9148801,85.9148801,85.9148801,85.9148801,85.9213532,90.4366952,right,0,5.0030238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Deep,Profound,Shallow,Profound,Shallow,opposite,Shallow,11,11,0,right,0,4.6932496,None,,,,,,,,,,,,0,11,11,22,,,,,90.4581293,,,,,,,,,90.4508944,90.4581293,90.4581293,90.4581293,90.9381604,90.9381604,90.9381604,90.9381604,90.951631,95.1528951,right,0,4.6932496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Fresh,Novel,Rotten,Novel,Rotten,opposite,Rotten,12,12,0,right,0,3.3232965,None,,,,,,,,,,,,0,12,12,38,,,,,95.1754476,,,,,,,,,95.1682044,95.1754476,95.1754476,95.1754476,95.6562727,95.6562727,95.6562727,95.6562727,95.6690075,98.5056492,right,0,3.3232965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Shortage,Deficit,Surplus,Deficit,Surplus,similar,Deficit,13,13,0,right,0,3.2117738,None,,,,,,,,,,,,0,13,13,43,,,,,98.5277238,,,,,,,,,98.5221313,98.5277238,98.5277238,98.5277238,99.0008997,99.0008997,99.0008997,99.0008997,99.0203193,101.7414573,right,0,3.2117738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Quiet,Tranquil,Loud,Tranquil,Loud,opposite,Loud,14,14,0,right,0,2.8488533,None,,,,,,,,,,,,0,14,14,39,,,,,101.7640014,,,,,,,,,101.7587402,101.7640014,101.7640014,101.7640014,102.2410227,102.2410227,102.2410227,102.2410227,102.2575071,104.6199148,right,0,2.8488533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Honest,Sincere,Deceitful,Sincere,Deceitful,opposite,Deceitful,15,15,0,left,0,3.6693962,None,,,,,,,,,,,,0,15,15,3,,,,,104.6361848,,,,,,,,,104.6312245,104.6361848,104.6361848,104.6361848,105.1219399,105.1219399,105.1219399,105.1219399,105.1276866,108.3131606,left,0,3.6693962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Soft,Supple,Hard,Supple,Hard,opposite,Hard,16,16,0,right,0,3.9400347,None,,,,,,,,,,,,0,16,16,25,,,,,108.3290564,,,,,,,,,108.3241971,108.3290564,108.3290564,108.3290564,108.8162995,108.8162995,108.8162995,108.8162995,108.8227454,112.2721852,right,0,3.9400347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Tired,Weary,Energetic,Weary,Energetic,opposite,Energetic,17,17,0,right,0,4.2266923,None,,,,,,,,,,,,0,17,17,16,,,,,112.2879028,,,,,,,,,112.2836088,112.2879028,112.2879028,112.2879028,112.7642193,112.7642193,112.7642193,112.7642193,112.7800624,116.5231607,right,0,4.2266923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Begin,Initiate,Conclude,Initiate,Conclude,similar,Initiate,18,18,0,left,0,7.0827311,None,,,,,,,,,,,,0,18,18,15,,,,,116.5439971,,,,,,,,,116.5396844,116.5439971,116.5439971,116.5439971,117.0276627,117.0276627,117.0276627,117.0276627,117.034305,123.6360102,left,0,7.0827311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
